smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
CCCCCCCCCCI,608,0.428386777639389,0.5576062798500061,-5.2,-5.3
N#Cc1ccc(CCl)cc1,613,0.4047461152076721,0.5696913599967957,-5.8,-5.5
ClCc1ccc(Cl)cc1,615,0.4019089341163635,0.5708887577056885,-5.5,-5.5
O=[N+]([O-])c1ccc(CBr)cc1,616,0.4006169140338897,0.5737220644950867,-6.5,-5.9
CNCCC#N,619,0.4621617794036865,0.5512520670890808,-3.5,-3.2
CCCCCI,622,0.4377126395702362,0.5603396892547607,-4.0,-3.9
CCCCCCCCCCl,624,0.431048184633255,0.5561622381210327,-5.1,-4.7
NC(=O)CCl,628,0.4430911540985107,0.5364993810653687,-3.8,-3.4
NS(=O)(=O)c1ccccc1,642,0.403465211391449,0.5784066915512085,-6.6,-5.7
NS(=O)(=O)c1ccc2ccccc2c1,643,0.3758357167243957,0.5823284387588501,-7.6,-7.5
NS(=O)(=O)c1cc(Cl)ccc1Cl,644,0.4105123579502105,0.5735098123550415,-6.4,-6.2
NS(=O)(=O)c1ccc(Cl)cc1,645,0.4077199399471283,0.5786982774734497,-5.8,-6.0
O=C1CCC(=O)N1,652,0.4220671951770782,0.5503581762313843,-4.9,-4.6
CC(=O)c1ccc(C#N)cc1,659,0.3964632749557495,0.5708390474319458,-6.3,-5.7
O=C(O)c1c(F)cccc1Cl,661,0.3942885100841522,0.560763418674469,-6.4,-5.9
S=C=Nc1ccc(Cl)cc1,669,0.3920965194702148,0.5649150013923645,-5.8,-5.5
CCCCCCCCCCC(=O)O,672,0.4248851537704468,0.5485553741455078,-5.6,-5.6
O=C(O)CCCC(=O)O,673,0.4307616651058197,0.5343224406242371,-5.0,-4.6
CCCCCCCC(=O)O,674,0.4267681539058685,0.5477485060691833,-5.5,-5.0
CC(=O)C(=O)O,675,0.4279853999614715,0.5334500670433044,-4.0,-3.8
COc1ccc(C=O)cc1,681,0.3967936336994171,0.5692144632339478,-5.8,-5.2
C1COCCN1,686,0.4320845901966095,0.5597761869430542,-3.7,-3.6
COc1ccccc1O,688,0.3969666957855224,0.5663694143295288,-5.8,-5.1
CC(=O)c1ccccc1O,689,0.3890080153942108,0.5672498941421509,-6.3,-5.7
CCCBr,693,0.4544484317302704,0.5525215268135071,-3.1,-2.9
NCCO,694,0.4470328986644745,0.5373170375823975,-3.2,-2.7
O=Cc1ccc(C(F)(F)F)cc1,697,0.4012154638767242,0.5739800333976746,-6.5,-6.5
CC(=O)N1CCNCC1,702,0.4223657548427582,0.5590333342552185,-5.4,-4.8
O=C(c1ccccc1)c1ccc(F)cc1,706,0.372305303812027,0.5727143883705139,-8.7,-8.1
Oc1cccc(F)c1,707,0.3868734538555145,0.5560661554336548,-5.5,-5.1
O=C(O)c1ccc([N+](=O)[O-])cc1,708,0.397123634815216,0.5750662684440613,-6.5,-6.0
O=C(O)c1cccc(Cl)c1,721,0.3934292793273926,0.5685663819313049,-6.2,-6.0
O=C(O)C(F)F,723,0.4498879909515381,0.5225161910057068,-4.0,-3.6
Oc1cccc2ccccc12,724,0.3475843667984009,0.5737059712409973,-7.1,-6.7
O=[N+]([O-])c1cccc(C=NO)c1,725,0.3947360217571258,0.5687468647956848,-6.8,-6.1
O=S(=O)(Cl)c1ccccc1,726,0.402526706457138,0.5755962133407593,-6.7,-5.6
NCCCN1CCCC1=O,728,0.4208098948001861,0.5586479902267456,-5.2,-4.6
BrCc1ccc(Br)cc1,730,0.393112301826477,0.573357880115509,-5.5,-5.5
CC(C)(C)N,735,0.4315850436687469,0.5664935111999512,-3.4,-3.3
CCC(=O)O,738,0.4437286257743835,0.5378221869468689,-3.8,-3.4
CC(O)C(=O)O,740,0.4455229341983795,0.5431973934173584,-4.1,-3.7
Cc1cc([N+](=O)[O-])ccc1N,745,0.3970567286014557,0.5764244198799133,-6.1,-6.1
CC(=O)Nc1cccc(N)c1,747,0.3954382240772247,0.5764898657798767,-6.9,-6.2
CNc1ccc([N+](=O)[O-])cc1,748,0.4019809663295746,0.5759949088096619,-6.2,-5.5
Cc1cc(Cl)ccc1N,751,0.3937963843345642,0.5741207599639893,-5.7,-5.7
Nc1ccc(Oc2ccccc2)cc1,752,0.3714444935321808,0.5773529410362244,-7.8,-7.0
Nc1cccc(S(=O)(=O)Nc2cccc(Cl)c2)c1,755,0.394605278968811,0.5840885043144226,-9.1,-7.8
Nc1ccc(-c2ccc(N)cc2)cc1,758,0.3615101873874664,0.589588463306427,-7.0,-7.0
