smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
Cc1n[nH]c2ccc([N+](=O)[O-])cc12,3007849,0.5767847836017609,0.7395619362592697,-6.2,-6.4
Cc1n[nH]c2cc([N+](=O)[O-])ccc12,3007850,0.6040271997451783,0.7872083187103271,-6.3,-6.4
COc1nc(N)cc2cccnc12,3007871,0.3449999719858169,0.5926399976015091,-5.9,-6.1
Cc1cccc2c(=O)[nH]ccc12,3007933,0.6427419304847717,0.7090689182281494,-6.5,-7.0
C=C=CCCC(=O)O,3007940,0.5269306972622871,0.8380242228507996,-3.9,-4.4
OCCC1CCc2ccccc21,3007949,0.781076318025589,0.9133650124073028,-6.0,-7.1
N#Cc1cccc(-c2ccccn2)n1,3007990,0.2203046958893537,0.6521916538476944,-6.3,-6.8
N#Cc1cncc(C(=O)O)c1,3008175,0.4193666584789753,0.8798949122428894,-4.7,-4.9
CN[C@@H](C)CO,3008204,0.6665946438908577,0.976634931564331,-3.6,-4.5
Cc1cc2c(F)c(O)ccc2[nH]1,3008244,0.7643012523651123,0.94607595205307,-6.4,-6.7
N#Cc1ccc2c(c1)CCN2,3008468,0.4190272532403469,0.9170615434646606,-5.5,-6.0
N#Cc1cccc2c1CCN2,3008469,0.2699123606085777,0.8845161557197571,-5.6,-6.3
Brc1cccc2c1CCN2,3008470,0.7259662806987762,0.9612418055534364,-5.5,-6.1
COc1ccc2c(c1)NCC2,3008473,0.7277101159095765,0.9087609350681304,-5.5,-5.9
C[C@@](N)(C(=O)O)c1ccccc1,3008513,0.5162235356867313,0.9904272019863128,-5.7,-5.9
CC1CNCC(=O)N1,3008800,0.4466085568070411,0.9840455770492552,-4.6,-4.6
NCCCc1cc(F)cc(F)c1,3008957,0.6954065769910812,0.9993538796901704,-5.7,-6.3
Cc1cccc(C(N)C(F)(F)F)c1,3009056,0.7930399775505066,0.9942986011505128,-6.3,-7.1
Clc1ccc([C@H]2CO2)cc1,3009234,0.591670474410057,0.9875649333000184,-4.9,-5.5
Cc1cccc2c(C(=O)O)n[nH]c12,3009255,0.8534808158874512,0.7895288586616516,-6.1,-6.7
COc1ccc2c(N)n[nH]c2c1,3009294,0.7570520043373108,0.7724308609962464,-6.1,-6.2
N#Cc1cccc(-c2ccccc2)n1,3009359,0.2247566498816013,0.517283383011818,-6.6,-7.2
