smiles,pik3ca_activity,mtor_activity
Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,1.0,
O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1)Nc1ccnnc1,1.0,1.0
CONC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,1.0,1.0
Cc1cc(C(C)Nc2ccccc2)c2oc(-c3ccncc3)cc(=O)c2c1,1.0,
Cc1nc(N)nc(-n2c(Nc3ccn(C(F)F)n3)nc3ccccc32)n1,0.0,1.0
COc1ccc(Nc2cc(-c3cccc(O)c3)nc(N3CCOCC3)n2)cc1,1.0,
Cc1nc(N)cc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1.0,1.0
Oc1cc(Br)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1.0,
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4C5CCC4COC5)CC3)ccnc21,1.0,1.0
C(#Cc1n[nH]c2ncccc12)c1cccnc1,1.0,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12,1.0,1.0
COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,1.0,
CC(=O)Nc1cccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)c1,1.0,
COC1CN(c2cc(O)nc(NCc3cccc4ccccc34)n2)C1,0.0,
Cc1nc(N)nc(-n2c(Nc3cn[nH]c3)nc3ccccc32)n1,1.0,
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,1.0,1.0
Oc1ccccc1-c1nc(N2CCOCC2)c2ncccc2n1,0.0,
Cn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccs4)cc3)nc21,1.0,1.0
COc1cccc(COc2nccc(-c3ccc4nc(NC(C)=O)sc4c3)n2)c1,1.0,
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NCC(F)(F)F)c2)cnc1N,1.0,
O=C1Nc2ccc(-c3cccnc3)cc2C1=Cc1cc(Br)c(O)c(Br)c1,1.0,
COc1ccc(-c2ccc3nc(N)sc3c2)cn1,1.0,
CC(=O)Nc1nc2ccc(-c3ccnc(Sc4ccc(F)cc4)n3)cc2s1,1.0,
CC1CN(C(=O)Cc2nc(O)cc(N3CCOCC3)n2)c2ccccc21,1.0,
Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1,1.0,1.0
CN(C)CCNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,1.0,
CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,1.0,
Cc1c(Cn2c(Cc3ccccc3)nc(=O)c3sc(N4CCOCC4)nc32)cccc1C(F)(F)F,1.0,
Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,1.0,
CC(=O)Nc1cn2cc(/C=C3\SC(=O)NC3=O)ccc2n1,1.0,
COCCNc1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,1.0,
CC(=O)Nc1cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)nc(C)n1,1.0,1.0
CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,1.0,1.0
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)cc2)s1,1.0,
Cn1c(-c2ccccc2)c(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2ccccc21,1.0,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccco3)csc12,1.0,
CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3n2)cc1,1.0,1.0
COc1cccc(Nc2nc(N3CC(C)OC(C)C3)nc3c2cnn3C)c1,1.0,
c1cc(-c2nc(N3CCOCC3)nc3c2CCN3c2ccncc2)ccn1,0.0,
O=S(=O)(Nc1cc(-c2ccc3ncc(NCC4CCCCC4)nc3c2)cnc1Cl)c1ccc(F)cc1,1.0,
CC(=O)N(C)Cc1sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2c1C,1.0,
Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCC(C(=O)N4CCOCC4)CC3)ccnc21,1.0,1.0
Oc1cc(F)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1.0,
COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1.0,
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc3[nH]ccc3c2)n1,0.0,1.0
